Ô»Õ_p,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
ì¥»___ï,,,,5175,130,60,10600,250,110,5315,110,50,10475,300,105,940,310,290,1935,60,50,8685,195,90,50,,,,,,
445(nm),,,,2.03E-05,7.69E-04,1.53E-03,9.49E-06,2.07E-04,8.90E-04,1.96E-05,9.20E-04,1.71E-03,9.61E-06,2.40E-04,9.59E-04,1.02E-04,2.83E-03,3.00E-03,4.35E-05,1.57E-03,2.21E-03,9.63E-06,3.05E-04,1.09E-03,2.37E-03,,,,,,
446(nm),,,,2.21E-05,8.41E-04,1.67E-03,1.03E-05,2.27E-04,9.75E-04,2.14E-05,1.01E-03,1.87E-03,1.04E-05,2.62E-04,1.05E-03,1.12E-04,3.09E-03,3.29E-03,4.76E-05,1.72E-03,2.42E-03,1.04E-05,3.32E-04,1.20E-03,2.59E-03,,,,,,
447(nm),,,,2.38E-05,9.09E-04,1.81E-03,1.10E-05,2.45E-04,1.05E-03,2.30E-05,1.09E-03,2.02E-03,1.12E-05,2.83E-04,1.13E-03,1.21E-04,3.34E-03,3.55E-03,5.14E-05,1.85E-03,2.61E-03,1.12E-05,3.57E-04,1.30E-03,2.80E-03,,,,,,
448(nm),,,,2.53E-05,9.71E-04,1.93E-03,1.17E-05,2.62E-04,1.12E-03,2.45E-05,1.16E-03,2.16E-03,1.18E-05,3.02E-04,1.21E-03,1.29E-04,3.57E-03,3.79E-03,5.48E-05,1.98E-03,2.79E-03,1.18E-05,3.80E-04,1.38E-03,2.98E-03,,,,,,
449(nm),,,,2.66E-05,1.02E-03,2.03E-03,1.23E-05,2.76E-04,1.18E-03,2.57E-05,1.23E-03,2.27E-03,1.24E-05,3.19E-04,1.27E-03,1.36E-04,3.76E-03,4.00E-03,5.77E-05,2.08E-03,2.93E-03,1.23E-05,3.99E-04,1.45E-03,3.14E-03,,,,,,
450(nm),,,,2.76E-05,1.06E-03,2.12E-03,1.27E-05,2.87E-04,1.23E-03,2.67E-05,1.27E-03,2.36E-03,1.28E-05,3.31E-04,1.32E-03,1.42E-04,3.90E-03,4.15E-03,5.98E-05,2.17E-03,3.05E-03,1.27E-05,4.15E-04,1.51E-03,3.27E-03,,,,,,
451(nm),,,,2.81E-05,1.08E-03,2.16E-03,1.28E-05,2.93E-04,1.26E-03,2.71E-05,1.30E-03,2.41E-03,1.29E-05,3.38E-04,1.35E-03,1.45E-04,3.99E-03,4.25E-03,6.11E-05,2.21E-03,3.12E-03,1.29E-05,4.23E-04,1.54E-03,3.33E-03,,,,,,
452(nm),,,,2.82E-05,1.09E-03,2.18E-03,1.28E-05,2.95E-04,1.27E-03,2.73E-05,1.31E-03,2.43E-03,1.29E-05,3.41E-04,1.36E-03,1.46E-04,4.03E-03,4.29E-03,6.14E-05,2.23E-03,3.14E-03,1.29E-05,4.25E-04,1.55E-03,3.36E-03,,,,,,
453(nm),,,,2.78E-05,1.08E-03,2.16E-03,1.26E-05,2.93E-04,1.26E-03,2.70E-05,1.30E-03,2.41E-03,1.28E-05,3.37E-04,1.35E-03,1.44E-04,4.00E-03,4.26E-03,6.08E-05,2.21E-03,3.12E-03,1.26E-05,4.21E-04,1.54E-03,3.33E-03,,,,,,
454(nm),,,,2.72E-05,1.06E-03,2.12E-03,1.23E-05,2.88E-04,1.24E-03,2.64E-05,1.27E-03,2.37E-03,1.24E-05,3.31E-04,1.32E-03,1.41E-04,3.92E-03,4.17E-03,5.94E-05,2.17E-03,3.05E-03,1.23E-05,4.12E-04,1.51E-03,3.27E-03,,,,,,
455(nm),,,,2.63E-05,1.03E-03,2.05E-03,1.18E-05,2.80E-04,1.20E-03,2.54E-05,1.23E-03,2.29E-03,1.20E-05,3.21E-04,1.28E-03,1.37E-04,3.79E-03,4.04E-03,5.74E-05,2.09E-03,2.95E-03,1.18E-05,3.98E-04,1.46E-03,3.17E-03,,,,,,
456(nm),,,,2.49E-05,9.81E-04,1.95E-03,1.12E-05,2.68E-04,1.14E-03,2.42E-05,1.17E-03,2.18E-03,1.13E-05,3.06E-04,1.22E-03,1.30E-04,3.61E-03,3.84E-03,5.45E-05,1.99E-03,2.81E-03,1.11E-05,3.78E-04,1.39E-03,3.02E-03,,,,,,
457(nm),,,,2.35E-05,9.25E-04,1.84E-03,1.06E-05,2.55E-04,1.08E-03,2.27E-05,1.11E-03,2.06E-03,1.06E-05,2.90E-04,1.15E-03,1.22E-04,3.40E-03,3.63E-03,5.13E-05,1.88E-03,2.66E-03,1.04E-05,3.58E-04,1.31E-03,2.85E-03,,,,,,
458(nm),,,,2.19E-05,8.65E-04,1.72E-03,9.83E-06,2.40E-04,1.01E-03,2.12E-05,1.04E-03,1.92E-03,9.91E-06,2.72E-04,1.08E-03,1.14E-04,3.18E-03,3.39E-03,4.78E-05,1.76E-03,2.49E-03,9.67E-06,3.34E-04,1.23E-03,2.67E-03,,,,,,
459(nm),,,,2.03E-05,8.04E-04,1.60E-03,9.10E-06,2.26E-04,9.43E-04,1.97E-05,9.63E-04,1.79E-03,9.19E-06,2.55E-04,1.01E-03,1.06E-04,2.95E-03,3.15E-03,4.43E-05,1.63E-03,2.31E-03,8.92E-06,3.10E-04,1.14E-03,2.48E-03,,,,,,
460(nm),,,,1.87E-05,7.44E-04,1.48E-03,8.42E-06,2.11E-04,8.77E-04,1.81E-05,8.91E-04,1.65E-03,8.48E-06,2.38E-04,9.34E-04,9.73E-05,2.72E-03,2.90E-03,4.08E-05,1.50E-03,2.13E-03,8.20E-06,2.87E-04,1.05E-03,2.29E-03,,,,,,
461(nm),,,,1.73E-05,6.88E-04,1.37E-03,7.77E-06,1.99E-04,8.14E-04,1.67E-05,8.25E-04,1.53E-03,7.84E-06,2.23E-04,8.66E-04,8.96E-05,2.50E-03,2.68E-03,3.75E-05,1.38E-03,1.97E-03,7.55E-06,2.66E-04,9.73E-04,2.12E-03,,,,,,
462(nm),,,,1.59E-05,6.34E-04,1.26E-03,7.17E-06,1.87E-04,7.56E-04,1.54E-05,7.61E-04,1.41E-03,7.23E-06,2.08E-04,8.02E-04,8.20E-05,2.29E-03,2.46E-03,3.44E-05,1.27E-03,1.81E-03,6.93E-06,2.45E-04,8.98E-04,1.96E-03,,,,,,
463(nm),,,,1.46E-05,5.86E-04,1.17E-03,6.66E-06,1.77E-04,7.03E-04,1.42E-05,7.02E-04,1.31E-03,6.72E-06,1.95E-04,7.44E-04,7.55E-05,2.11E-03,2.26E-03,3.17E-05,1.17E-03,1.67E-03,6.38E-06,2.27E-04,8.30E-04,1.81E-03,,,,,,
464(nm),,,,1.35E-05,5.42E-04,1.08E-03,6.18E-06,1.68E-04,6.55E-04,1.31E-05,6.49E-04,1.21E-03,6.24E-06,1.84E-04,6.93E-04,6.94E-05,1.94E-03,2.09E-03,2.91E-05,1.08E-03,1.54E-03,5.85E-06,2.10E-04,7.67E-04,1.67E-03,,,,,,
465(nm),,,,1.26E-05,5.05E-04,1.01E-03,5.80E-06,1.61E-04,6.17E-04,1.22E-05,6.05E-04,1.12E-03,5.86E-06,1.75E-04,6.50E-04,6.41E-05,1.79E-03,1.93E-03,2.69E-05,9.98E-04,1.42E-03,5.42E-06,1.96E-04,7.14E-04,1.55E-03,,,,,,
466(nm),,,,1.17E-05,4.70E-04,9.37E-04,5.45E-06,1.55E-04,5.80E-04,1.13E-05,5.64E-04,1.05E-03,5.50E-06,1.67E-04,6.09E-04,5.90E-05,1.66E-03,1.79E-03,2.48E-05,9.20E-04,1.32E-03,5.02E-06,1.82E-04,6.66E-04,1.45E-03,,,,,,
467(nm),,,,1.09E-05,4.39E-04,8.73E-04,5.13E-06,1.50E-04,5.48E-04,1.06E-05,5.26E-04,9.78E-04,5.19E-06,1.60E-04,5.72E-04,5.45E-05,1.53E-03,1.66E-03,2.28E-05,8.51E-04,1.22E-03,4.68E-06,1.70E-04,6.22E-04,1.35E-03,,,,,,
468(nm),,,,1.01E-05,4.10E-04,8.14E-04,4.84E-06,1.45E-04,5.19E-04,9.85E-06,4.91E-04,9.09E-04,4.90E-06,1.53E-04,5.40E-04,5.00E-05,1.41E-03,1.54E-03,2.10E-05,7.85E-04,1.14E-03,4.32E-06,1.59E-04,5.81E-04,1.26E-03,,,,,,
469(nm),,,,9.47E-06,3.83E-04,7.62E-04,4.60E-06,1.42E-04,4.93E-04,9.19E-06,4.60E-04,8.51E-04,4.66E-06,1.47E-04,5.10E-04,4.60E-05,1.30E-03,1.43E-03,1.94E-05,7.28E-04,1.06E-03,4.03E-06,1.49E-04,5.43E-04,1.18E-03,,,,,,
470(nm),,,,8.85E-06,3.59E-04,7.13E-04,4.38E-06,1.39E-04,4.68E-04,8.61E-06,4.30E-04,7.96E-04,4.43E-06,1.42E-04,4.83E-04,4.22E-05,1.20E-03,1.32E-03,1.78E-05,6.72E-04,9.82E-04,3.75E-06,1.40E-04,5.08E-04,1.10E-03,,,,,,
471(nm),,,,8.28E-06,3.36E-04,6.68E-04,4.17E-06,1.36E-04,4.47E-04,8.07E-06,4.03E-04,7.45E-04,4.23E-06,1.38E-04,4.57E-04,3.89E-05,1.11E-03,1.23E-03,1.64E-05,6.20E-04,9.13E-04,3.49E-06,1.31E-04,4.76E-04,1.03E-03,,,,,,
472(nm),,,,7.72E-06,3.15E-04,6.26E-04,3.98E-06,1.34E-04,4.27E-04,7.54E-06,3.77E-04,6.96E-04,4.04E-06,1.34E-04,4.35E-04,3.57E-05,1.02E-03,1.13E-03,1.52E-05,5.73E-04,8.49E-04,3.26E-06,1.23E-04,4.47E-04,9.68E-04,,,,,,
473(nm),,,,7.22E-06,2.94E-04,5.88E-04,3.80E-06,1.32E-04,4.07E-04,7.05E-06,3.52E-04,6.55E-04,3.85E-06,1.31E-04,4.13E-04,3.27E-05,9.39E-04,1.05E-03,1.39E-05,5.29E-04,7.88E-04,3.05E-06,1.16E-04,4.18E-04,9.09E-04,,,,,,
474(nm),,,,6.78E-06,2.77E-04,5.51E-04,3.63E-06,1.30E-04,3.91E-04,6.61E-06,3.31E-04,6.15E-04,3.70E-06,1.27E-04,3.93E-04,2.99E-05,8.68E-04,9.78E-04,1.28E-05,4.88E-04,7.33E-04,2.84E-06,1.09E-04,3.94E-04,8.52E-04,,,,,,
475(nm),,,,6.37E-06,2.61E-04,5.20E-04,3.49E-06,1.28E-04,3.75E-04,6.23E-06,3.12E-04,5.80E-04,3.55E-06,1.24E-04,3.75E-04,2.75E-05,8.01E-04,9.10E-04,1.17E-05,4.52E-04,6.83E-04,2.67E-06,1.03E-04,3.70E-04,8.03E-04,,,,,,
476(nm),,,,5.99E-06,2.45E-04,4.89E-04,3.36E-06,1.26E-04,3.59E-04,5.86E-06,2.94E-04,5.47E-04,3.42E-06,1.21E-04,3.59E-04,2.52E-05,7.37E-04,8.47E-04,1.08E-05,4.18E-04,6.39E-04,2.51E-06,9.75E-05,3.49E-04,7.54E-04,,,,,,
477(nm),,,,5.66E-06,2.33E-04,4.64E-04,3.21E-06,1.25E-04,3.46E-04,5.53E-06,2.77E-04,5.17E-04,3.29E-06,1.18E-04,3.43E-04,2.31E-05,6.83E-04,7.87E-04,9.95E-06,3.88E-04,5.99E-04,2.34E-06,9.20E-05,3.30E-04,7.13E-04,,,,,,
478(nm),,,,5.35E-06,2.20E-04,4.38E-04,3.12E-06,1.23E-04,3.35E-04,5.23E-06,2.63E-04,4.90E-04,3.18E-06,1.16E-04,3.30E-04,2.13E-05,6.29E-04,7.36E-04,9.20E-06,3.62E-04,5.60E-04,2.20E-06,8.77E-05,3.15E-04,6.76E-04,,,,,,
479(nm),,,,5.07E-06,2.09E-04,4.15E-04,3.01E-06,1.22E-04,3.23E-04,4.97E-06,2.50E-04,4.64E-04,3.07E-06,1.14E-04,3.17E-04,1.97E-05,5.88E-04,6.91E-04,8.53E-06,3.35E-04,5.27E-04,2.08E-06,8.32E-05,2.99E-04,6.41E-04,,,,,,
480(nm),,,,4.81E-06,2.00E-04,3.95E-04,2.91E-06,1.20E-04,3.13E-04,4.73E-06,2.39E-04,4.42E-04,2.98E-06,1.11E-04,3.06E-04,1.82E-05,5.49E-04,6.51E-04,7.91E-06,3.14E-04,4.97E-04,1.97E-06,7.97E-05,2.84E-04,6.11E-04,,,,,,
481(nm),,,,4.60E-06,1.91E-04,3.79E-04,2.83E-06,1.19E-04,3.05E-04,4.52E-06,2.27E-04,4.23E-04,2.90E-06,1.09E-04,2.97E-04,1.70E-05,5.11E-04,6.14E-04,7.38E-06,2.96E-04,4.72E-04,1.87E-06,7.63E-05,2.72E-04,5.86E-04,,,,,,
482(nm),,,,4.40E-06,1.83E-04,3.63E-04,2.75E-06,1.17E-04,2.96E-04,4.33E-06,2.18E-04,4.06E-04,2.83E-06,1.08E-04,2.86E-04,1.58E-05,4.81E-04,5.84E-04,6.96E-06,2.79E-04,4.49E-04,1.79E-06,7.38E-05,2.61E-04,5.62E-04,,,,,,
483(nm),,,,4.24E-06,1.77E-04,3.49E-04,2.69E-06,1.16E-04,2.89E-04,4.17E-06,2.11E-04,3.90E-04,2.76E-06,1.06E-04,2.79E-04,1.48E-05,4.56E-04,5.55E-04,6.52E-06,2.63E-04,4.28E-04,1.71E-06,7.09E-05,2.51E-04,5.40E-04,,,,,,
484(nm),,,,4.08E-06,1.70E-04,3.38E-04,2.63E-06,1.15E-04,2.83E-04,4.03E-06,2.04E-04,3.76E-04,2.69E-06,1.05E-04,2.72E-04,1.39E-05,4.31E-04,5.29E-04,6.14E-06,2.51E-04,4.10E-04,1.65E-06,6.86E-05,2.43E-04,5.21E-04,,,,,,
485(nm),,,,3.95E-06,1.65E-04,3.26E-04,2.57E-06,1.14E-04,2.78E-04,3.90E-06,1.97E-04,3.65E-04,2.65E-06,1.04E-04,2.67E-04,1.31E-05,4.11E-04,5.09E-04,5.84E-06,2.40E-04,3.95E-04,1.59E-06,6.67E-05,2.36E-04,5.04E-04,,,,,,
486(nm),,,,3.84E-06,1.60E-04,3.17E-04,2.53E-06,1.14E-04,2.73E-04,3.78E-06,1.91E-04,3.55E-04,2.60E-06,1.03E-04,2.61E-04,1.25E-05,3.91E-04,4.89E-04,5.54E-06,2.29E-04,3.82E-04,1.53E-06,6.48E-05,2.30E-04,4.91E-04,,,,,,
487(nm),,,,3.74E-06,1.57E-04,3.11E-04,2.51E-06,1.13E-04,2.70E-04,3.70E-06,1.88E-04,3.47E-04,2.58E-06,1.02E-04,2.58E-04,1.19E-05,3.76E-04,4.71E-04,5.33E-06,2.21E-04,3.69E-04,1.49E-06,6.35E-05,2.25E-04,4.79E-04,,,,,,
488(nm),,,,3.67E-06,1.54E-04,3.04E-04,2.49E-06,1.14E-04,2.69E-04,3.63E-06,1.84E-04,3.41E-04,2.56E-06,1.02E-04,2.55E-04,1.14E-05,3.62E-04,4.59E-04,5.10E-06,2.14E-04,3.59E-04,1.46E-06,6.26E-05,2.20E-04,4.72E-04,,,,,,
489(nm),,,,3.61E-06,1.52E-04,3.01E-04,2.48E-06,1.14E-04,2.67E-04,3.58E-06,1.81E-04,3.35E-04,2.54E-06,1.02E-04,2.53E-04,1.10E-05,3.51E-04,4.47E-04,4.94E-06,2.08E-04,3.51E-04,1.43E-06,6.19E-05,2.17E-04,4.64E-04,,,,,,
490(nm),,,,3.57E-06,1.50E-04,2.98E-04,2.48E-06,1.15E-04,2.68E-04,3.54E-06,1.80E-04,3.33E-04,2.54E-06,1.03E-04,2.53E-04,1.06E-05,3.42E-04,4.39E-04,4.78E-06,2.03E-04,3.47E-04,1.41E-06,6.12E-05,2.16E-04,4.60E-04,,,,,,
491(nm),,,,3.57E-06,1.50E-04,2.97E-04,2.50E-06,1.17E-04,2.70E-04,3.54E-06,1.80E-04,3.31E-04,2.56E-06,1.04E-04,2.54E-04,1.04E-05,3.33E-04,4.33E-04,4.68E-06,1.99E-04,3.42E-04,1.41E-06,6.12E-05,2.15E-04,4.59E-04,,,,,,
492(nm),,,,3.59E-06,1.51E-04,2.98E-04,2.53E-06,1.20E-04,2.73E-04,3.53E-06,1.80E-04,3.33E-04,2.60E-06,1.06E-04,2.57E-04,1.01E-05,3.30E-04,4.32E-04,4.58E-06,1.98E-04,3.41E-04,1.40E-06,6.15E-05,2.16E-04,4.60E-04,,,,,,
493(nm),,,,3.60E-06,1.53E-04,3.02E-04,2.58E-06,1.23E-04,2.78E-04,3.57E-06,1.82E-04,3.37E-04,2.65E-06,1.09E-04,2.62E-04,1.00E-05,3.28E-04,4.31E-04,4.56E-06,1.97E-04,3.43E-04,1.41E-06,6.23E-05,2.18E-04,4.65E-04,,,,,,
494(nm),,,,3.67E-06,1.55E-04,3.06E-04,2.64E-06,1.27E-04,2.85E-04,3.64E-06,1.85E-04,3.42E-04,2.72E-06,1.12E-04,2.68E-04,9.90E-06,3.29E-04,4.35E-04,4.55E-06,1.98E-04,3.46E-04,1.43E-06,6.34E-05,2.22E-04,4.74E-04,,,,,,
495(nm),,,,3.76E-06,1.59E-04,3.14E-04,2.73E-06,1.32E-04,2.94E-04,3.71E-06,1.89E-04,3.49E-04,2.80E-06,1.16E-04,2.75E-04,9.91E-06,3.30E-04,4.41E-04,4.57E-06,2.00E-04,3.52E-04,1.45E-06,6.53E-05,2.27E-04,4.85E-04,,,,,,
496(nm),,,,3.87E-06,1.63E-04,3.24E-04,2.83E-06,1.38E-04,3.07E-04,3.82E-06,1.94E-04,3.61E-04,2.91E-06,1.21E-04,2.84E-04,1.00E-05,3.35E-04,4.52E-04,4.58E-06,2.03E-04,3.62E-04,1.49E-06,6.72E-05,2.35E-04,4.99E-04,,,,,,
497(nm),,,,3.99E-06,1.70E-04,3.35E-04,2.95E-06,1.45E-04,3.18E-04,3.98E-06,2.03E-04,3.74E-04,3.04E-06,1.27E-04,2.97E-04,1.01E-05,3.40E-04,4.65E-04,4.66E-06,2.07E-04,3.73E-04,1.53E-06,6.96E-05,2.43E-04,5.17E-04,,,,,,
498(nm),,,,4.15E-06,1.77E-04,3.48E-04,3.09E-06,1.53E-04,3.35E-04,4.13E-06,2.11E-04,3.90E-04,3.19E-06,1.34E-04,3.12E-04,1.03E-05,3.49E-04,4.79E-04,4.74E-06,2.14E-04,3.87E-04,1.59E-06,7.29E-05,2.54E-04,5.39E-04,,,,,,
499(nm),,,,4.33E-06,1.86E-04,3.65E-04,3.26E-06,1.63E-04,3.55E-04,4.31E-06,2.21E-04,4.08E-04,3.36E-06,1.42E-04,3.29E-04,1.05E-05,3.61E-04,4.97E-04,4.86E-06,2.21E-04,4.03E-04,1.65E-06,7.64E-05,2.66E-04,5.64E-04,,,,,,
500(nm),,,,4.55E-06,1.95E-04,3.85E-04,3.45E-06,1.73E-04,3.76E-04,4.53E-06,2.32E-04,4.29E-04,3.55E-06,1.51E-04,3.47E-04,1.07E-05,3.72E-04,5.18E-04,4.99E-06,2.29E-04,4.19E-04,1.72E-06,8.06E-05,2.79E-04,5.93E-04,,,,,,
501(nm),,,,4.78E-06,2.06E-04,4.06E-04,3.65E-06,1.85E-04,3.99E-04,4.77E-06,2.45E-04,4.52E-04,3.77E-06,1.61E-04,3.69E-04,1.10E-05,3.84E-04,5.39E-04,5.14E-06,2.39E-04,4.39E-04,1.81E-06,8.49E-05,2.95E-04,6.24E-04,,,,,,
502(nm),,,,5.03E-06,2.17E-04,4.27E-04,3.89E-06,1.98E-04,4.24E-04,5.00E-06,2.58E-04,4.77E-04,4.01E-06,1.72E-04,3.91E-04,1.12E-05,3.99E-04,5.65E-04,5.30E-06,2.47E-04,4.63E-04,1.89E-06,8.95E-05,3.11E-04,6.59E-04,,,,,,
503(nm),,,,5.30E-06,2.28E-04,4.52E-04,4.13E-06,2.12E-04,4.50E-04,5.28E-06,2.72E-04,5.05E-04,4.26E-06,1.83E-04,4.16E-04,1.16E-05,4.15E-04,5.91E-04,5.48E-06,2.57E-04,4.84E-04,1.98E-06,9.46E-05,3.29E-04,6.95E-04,,,,,,
504(nm),,,,5.59E-06,2.42E-04,4.78E-04,4.39E-06,2.26E-04,4.80E-04,5.57E-06,2.87E-04,5.32E-04,4.53E-06,1.96E-04,4.42E-04,1.18E-05,4.30E-04,6.21E-04,5.65E-06,2.69E-04,5.08E-04,2.08E-06,1.00E-04,3.48E-04,7.36E-04,,,,,,
505(nm),,,,5.88E-06,2.56E-04,5.02E-04,4.66E-06,2.42E-04,5.10E-04,5.87E-06,3.04E-04,5.62E-04,4.79E-06,2.09E-04,4.69E-04,1.21E-05,4.47E-04,6.51E-04,5.82E-06,2.81E-04,5.33E-04,2.18E-06,1.06E-04,3.66E-04,7.76E-04,,,,,,
506(nm),,,,6.17E-06,2.69E-04,5.31E-04,4.94E-06,2.57E-04,5.40E-04,6.17E-06,3.20E-04,5.93E-04,5.09E-06,2.22E-04,4.98E-04,1.24E-05,4.62E-04,6.79E-04,6.01E-06,2.89E-04,5.59E-04,2.28E-06,1.11E-04,3.86E-04,8.19E-04,,,,,,
507(nm),,,,6.51E-06,2.83E-04,5.60E-04,5.23E-06,2.75E-04,5.75E-04,6.49E-06,3.37E-04,6.26E-04,5.41E-06,2.36E-04,5.27E-04,1.27E-05,4.78E-04,7.08E-04,6.15E-06,3.02E-04,5.88E-04,2.40E-06,1.18E-04,4.07E-04,8.65E-04,,,,,,
508(nm),,,,6.84E-06,2.99E-04,5.88E-04,5.53E-06,2.92E-04,6.08E-04,6.82E-06,3.54E-04,6.57E-04,5.71E-06,2.51E-04,5.56E-04,1.30E-05,4.95E-04,7.40E-04,6.32E-06,3.13E-04,6.14E-04,2.51E-06,1.24E-04,4.30E-04,9.08E-04,,,,,,
509(nm),,,,7.14E-06,3.13E-04,6.17E-04,5.82E-06,3.09E-04,6.41E-04,7.15E-06,3.72E-04,6.88E-04,6.01E-06,2.66E-04,5.85E-04,1.32E-05,5.09E-04,7.70E-04,6.48E-06,3.24E-04,6.39E-04,2.61E-06,1.31E-04,4.50E-04,9.54E-04,,,,,,
510(nm),,,,7.45E-06,3.28E-04,6.46E-04,6.12E-06,3.27E-04,6.74E-04,7.48E-06,3.89E-04,7.19E-04,6.32E-06,2.81E-04,6.15E-04,1.34E-05,5.23E-04,8.00E-04,6.64E-06,3.34E-04,6.65E-04,2.70E-06,1.36E-04,4.70E-04,9.96E-04,,,,,,
511(nm),,,,7.76E-06,3.43E-04,6.72E-04,6.41E-06,3.45E-04,7.07E-04,7.78E-06,4.06E-04,7.50E-04,6.61E-06,2.96E-04,6.43E-04,1.35E-05,5.36E-04,8.25E-04,6.75E-06,3.44E-04,6.90E-04,2.80E-06,1.43E-04,4.92E-04,1.04E-03,,,,,,
512(nm),,,,8.06E-06,3.55E-04,7.00E-04,6.67E-06,3.62E-04,7.41E-04,8.07E-06,4.22E-04,7.79E-04,6.90E-06,3.10E-04,6.73E-04,1.36E-05,5.46E-04,8.53E-04,6.82E-06,3.52E-04,7.13E-04,2.88E-06,1.48E-04,5.12E-04,1.08E-03,,,,,,
513(nm),,,,8.34E-06,3.69E-04,7.27E-04,6.97E-06,3.80E-04,7.74E-04,8.35E-06,4.37E-04,8.09E-04,7.20E-06,3.25E-04,7.01E-04,1.36E-05,5.56E-04,8.79E-04,6.86E-06,3.61E-04,7.34E-04,2.97E-06,1.54E-04,5.31E-04,1.12E-03,,,,,,
514(nm),,,,8.62E-06,3.82E-04,7.54E-04,7.27E-06,3.98E-04,8.08E-04,8.65E-06,4.53E-04,8.39E-04,7.51E-06,3.40E-04,7.31E-04,1.36E-05,5.65E-04,8.98E-04,6.93E-06,3.69E-04,7.55E-04,3.07E-06,1.60E-04,5.49E-04,1.16E-03,,,,,,
515(nm),,,,8.89E-06,3.95E-04,7.76E-04,7.55E-06,4.16E-04,8.39E-04,8.95E-06,4.68E-04,8.68E-04,7.81E-06,3.54E-04,7.58E-04,1.35E-05,5.74E-04,9.21E-04,6.95E-06,3.76E-04,7.76E-04,3.15E-06,1.66E-04,5.68E-04,1.20E-03,,,,,,
516(nm),,,,9.15E-06,4.08E-04,8.01E-04,7.82E-06,4.32E-04,8.70E-04,9.21E-06,4.84E-04,8.94E-04,8.10E-06,3.68E-04,7.84E-04,1.35E-05,5.80E-04,9.42E-04,6.98E-06,3.81E-04,7.95E-04,3.23E-06,1.70E-04,5.86E-04,1.23E-03,,,,,,
517(nm),,,,9.41E-06,4.18E-04,8.23E-04,8.09E-06,4.48E-04,9.00E-04,9.43E-06,4.96E-04,9.18E-04,8.37E-06,3.82E-04,8.11E-04,1.33E-05,5.81E-04,9.57E-04,6.97E-06,3.85E-04,8.12E-04,3.30E-06,1.75E-04,6.02E-04,1.27E-03,,,,,,
518(nm),,,,9.59E-06,4.28E-04,8.42E-04,8.32E-06,4.62E-04,9.25E-04,9.64E-06,5.07E-04,9.37E-04,8.60E-06,3.94E-04,8.33E-04,1.30E-05,5.83E-04,9.69E-04,6.91E-06,3.88E-04,8.26E-04,3.35E-06,1.80E-04,6.15E-04,1.30E-03,,,,,,
519(nm),,,,9.79E-06,4.37E-04,8.59E-04,8.54E-06,4.76E-04,9.50E-04,9.84E-06,5.18E-04,9.57E-04,8.82E-06,4.04E-04,8.54E-04,1.27E-05,5.83E-04,9.82E-04,6.85E-06,3.91E-04,8.39E-04,3.41E-06,1.84E-04,6.29E-04,1.32E-03,,,,,,
520(nm),,,,9.94E-06,4.44E-04,8.73E-04,8.72E-06,4.89E-04,9.72E-04,1.00E-05,5.27E-04,9.73E-04,9.03E-06,4.15E-04,8.72E-04,1.25E-05,5.81E-04,9.94E-04,6.79E-06,3.92E-04,8.49E-04,3.47E-06,1.87E-04,6.41E-04,1.35E-03,,,,,,
521(nm),,,,1.01E-05,4.52E-04,8.87E-04,8.93E-06,5.01E-04,9.92E-04,1.01E-05,5.34E-04,9.88E-04,9.22E-06,4.24E-04,8.91E-04,1.22E-05,5.79E-04,9.97E-04,6.72E-06,3.94E-04,8.58E-04,3.50E-06,1.90E-04,6.50E-04,1.37E-03,,,,,,
522(nm),,,,1.02E-05,4.57E-04,8.98E-04,9.07E-06,5.11E-04,1.01E-03,1.03E-05,5.41E-04,1.00E-03,9.41E-06,4.33E-04,9.06E-04,1.19E-05,5.75E-04,1.01E-03,6.60E-06,3.92E-04,8.64E-04,3.54E-06,1.93E-04,6.60E-04,1.38E-03,,,,,,
523(nm),,,,1.03E-05,4.63E-04,9.10E-04,9.23E-06,5.21E-04,1.03E-03,1.04E-05,5.48E-04,1.01E-03,9.56E-06,4.41E-04,9.21E-04,1.15E-05,5.73E-04,1.01E-03,6.53E-06,3.92E-04,8.72E-04,3.57E-06,1.95E-04,6.67E-04,1.40E-03,,,,,,
524(nm),,,,1.04E-05,4.67E-04,9.17E-04,9.38E-06,5.29E-04,1.04E-03,1.05E-05,5.54E-04,1.02E-03,9.71E-06,4.48E-04,9.32E-04,1.12E-05,5.67E-04,1.01E-03,6.40E-06,3.91E-04,8.78E-04,3.58E-06,1.97E-04,6.72E-04,1.41E-03,,,,,,
525(nm),,,,1.05E-05,4.71E-04,9.22E-04,9.47E-06,5.36E-04,1.05E-03,1.05E-05,5.58E-04,1.03E-03,9.81E-06,4.53E-04,9.40E-04,1.09E-05,5.62E-04,1.01E-03,6.25E-06,3.88E-04,8.77E-04,3.60E-06,1.99E-04,6.77E-04,1.42E-03,,,,,,
526(nm),,,,1.05E-05,4.73E-04,9.30E-04,9.56E-06,5.43E-04,1.06E-03,1.06E-05,5.61E-04,1.04E-03,9.89E-06,4.58E-04,9.51E-04,1.05E-05,5.55E-04,1.01E-03,6.15E-06,3.86E-04,8.77E-04,3.60E-06,2.00E-04,6.84E-04,1.43E-03,,,,,,
