Ô»Õ_p,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,
ì¥»___ï,,,,5175,130,60,10600,250,110,5315,110,50,10475,300,105,940,310,290,1935,60,50,8685,195,90,50,,,,,,
389(nm),,,,6.71E-08,2.55E-06,5.02E-06,4.39E-08,1.88E-06,4.51E-06,6.44E-08,2.89E-06,5.77E-06,4.89E-08,1.81E-06,4.36E-06,2.06E-07,5.78E-06,7.21E-06,8.79E-08,3.94E-06,5.94E-06,3.08E-08,1.33E-06,3.86E-06,7.57E-06,,,,,,
390(nm),,,,6.29E-08,2.31E-06,4.99E-06,4.37E-08,1.91E-06,4.07E-06,6.15E-08,2.74E-06,5.83E-06,4.57E-08,1.74E-06,4.02E-06,1.85E-07,5.86E-06,7.09E-06,9.01E-08,3.26E-06,5.86E-06,3.24E-08,1.30E-06,3.77E-06,7.64E-06,,,,,,
391(nm),,,,6.11E-08,2.40E-06,4.62E-06,3.97E-08,1.70E-06,3.77E-06,5.59E-08,2.76E-06,5.20E-06,4.25E-08,1.58E-06,3.74E-06,1.72E-07,5.01E-06,6.85E-06,7.67E-08,3.13E-06,5.35E-06,3.10E-08,1.24E-06,3.57E-06,7.16E-06,,,,,,
392(nm),,,,5.63E-08,2.28E-06,4.31E-06,3.75E-08,1.57E-06,3.79E-06,4.86E-08,2.64E-06,4.93E-06,4.05E-08,1.50E-06,3.62E-06,1.47E-07,4.31E-06,6.66E-06,8.35E-08,3.20E-06,5.12E-06,2.98E-08,1.17E-06,3.34E-06,6.59E-06,,,,,,
393(nm),,,,5.16E-08,2.09E-06,3.95E-06,3.81E-08,1.40E-06,3.53E-06,4.99E-08,2.35E-06,5.23E-06,3.94E-08,1.36E-06,3.59E-06,1.76E-07,4.57E-06,6.04E-06,8.40E-08,2.59E-06,4.94E-06,2.87E-08,1.04E-06,3.43E-06,6.23E-06,,,,,,
394(nm),,,,5.32E-08,2.15E-06,3.88E-06,3.54E-08,1.34E-06,3.27E-06,5.07E-08,2.33E-06,4.42E-06,3.71E-08,1.31E-06,3.39E-06,1.63E-07,4.92E-06,5.66E-06,6.52E-08,2.80E-06,5.04E-06,2.79E-08,1.10E-06,3.06E-06,6.35E-06,,,,,,
395(nm),,,,4.96E-08,1.89E-06,3.84E-06,3.28E-08,1.29E-06,3.22E-06,4.91E-08,2.08E-06,4.33E-06,3.64E-08,1.23E-06,3.17E-06,1.53E-07,4.25E-06,5.50E-06,6.35E-08,2.83E-06,4.49E-06,2.51E-08,9.95E-07,3.00E-06,5.98E-06,,,,,,
396(nm),,,,4.86E-08,2.01E-06,3.83E-06,3.32E-08,1.24E-06,3.01E-06,4.71E-08,2.11E-06,4.01E-06,3.56E-08,1.15E-06,3.00E-06,1.49E-07,4.51E-06,5.53E-06,6.75E-08,2.93E-06,4.45E-06,2.76E-08,9.83E-07,2.80E-06,5.60E-06,,,,,,
397(nm),,,,4.51E-08,2.08E-06,3.80E-06,2.92E-08,1.25E-06,2.85E-06,4.46E-08,2.12E-06,3.90E-06,3.37E-08,1.18E-06,2.85E-06,1.46E-07,4.09E-06,5.23E-06,6.00E-08,2.87E-06,4.46E-06,2.56E-08,9.28E-07,2.64E-06,5.50E-06,,,,,,
398(nm),,,,4.62E-08,1.77E-06,3.73E-06,2.99E-08,1.15E-06,2.83E-06,4.50E-08,2.05E-06,4.08E-06,3.03E-08,1.08E-06,2.74E-06,1.50E-07,4.07E-06,5.48E-06,7.27E-08,2.66E-06,4.55E-06,2.30E-08,8.67E-07,2.80E-06,5.57E-06,,,,,,
